iter	RMSE
0	2.673978882
1	2.52458749
2	2.405570208
3	2.311599375
4	2.249386832
5	2.190889395
6	2.14634934
7	2.103916672
8	2.07220292
9	2.035273308
10	2.006546683
11	1.981168433
12	1.963614132
13	1.947697826
14	1.935482351
15	1.925901938
16	1.91686377
17	1.90348496
18	1.883924671
19	1.875282598
20	1.871544755
21	1.856026016
22	1.849611151
23	1.845700256
24	1.836018043
25	1.82488891
26	1.816204965
27	1.808248337
28	1.801661613
29	1.793563742
30	1.78946762
31	1.786211999
32	1.782163154
33	1.779494468
34	1.774272336
35	1.762036576
36	1.754658748
37	1.750171583
38	1.748071889
39	1.742831408
40	1.736997514
41	1.72804854
42	1.718891555
43	1.715615702
44	1.706559562
45	1.699324888
46	1.691787774
47	1.68648952
48	1.680754453
49	1.676446263
50	1.669224583
51	1.665039665
52	1.658817103
53	1.65328195
54	1.648265541
55	1.642920309
56	1.63671612
57	1.630589989
58	1.627236358
59	1.623048305
60	1.617884735
61	1.608558471
62	1.604102436
63	1.601349017
64	1.591827048
65	1.588925174
66	1.583593947
67	1.580142201
68	1.576103874
69	1.571348463
70	1.56551836
71	1.558905796
72	1.553726312
73	1.549858305
74	1.545039367
75	1.540850776
76	1.535460611
77	1.531025888
78	1.526109257
79	1.52254836
80	1.518166936
81	1.511645525
82	1.507424019
83	1.502952214
84	1.501536509
85	1.495841374
86	1.492253362
87	1.487647593
88	1.484281173
89	1.480120637
90	1.477637363
91	1.472520284
92	1.470390003
93	1.464827682
94	1.458043024
95	1.453348492
96	1.446937963
97	1.44326914
98	1.439831512
99	1.435369724
