iter	Passed	Remaining
0	1	169
1	3	147
2	4	135
3	5	129
4	6	120
5	7	115
6	8	110
7	9	107
8	10	104
9	11	102
10	12	100
11	14	107
12	15	107
13	17	107
14	19	108
15	20	106
16	21	105
17	22	103
18	23	102
19	24	99
20	25	97
21	27	96
22	28	94
23	29	92
24	30	90
25	31	88
26	32	86
27	32	84
28	33	82
29	34	81
30	35	79
31	36	78
32	37	76
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	64
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	47
58	66	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	39
65	75	38
66	76	37
67	77	36
68	79	35
69	80	34
70	82	33
71	83	32
72	85	31
73	86	30
74	88	29
75	90	28
76	91	27
77	93	26
78	94	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
